"Domain", "Hostname", "Version", "WebDAV URL", "WebDAV version", "SRM URL", "SRM version", "Glue2", "Glue1"
AUSTRALIA-ATLAS, rcsrm.atlas.unimelb.edu.au, 1.11.9,  , ,  httpg://rcsrm.atlas.unimelb.edu.au:8444/srm/managerv2, 1.11.9 , True, True
BIOCOMP, duck-03.biocomp.unibo.it, 1.11.9,  , ,  httpg://duck-03.biocomp.unibo.it:8444/srm/managerv2, 1.11.9 , True, True
CA-MCGILL-CLUMEQ-T2, gridftp02.clumeq.mcgill.ca, 1.11.9,  , ,  httpg://storm01.clumeq.mcgill.ca:8444/srm/managerv2, 1.11.9 , True, True
CA-MCGILL-CLUMEQ-T2, storm02.clumeq.mcgill.ca, 1.11.9,  https://storm02.clumeq.mcgill.ca:8443/webdav, 1.11.9 ,  httpg://storm02.clumeq.mcgill.ca:8444/srm/managerv2, 1.11.9 , True, True
CRS4, egridglitese.crs4.it, 1.11.7,  , ,  httpg://egridglitese.crs4.it:8444/srm/managerv2, 1.11.7 , True, True
CYFRONET-LCG2, storm.grid.cyf-kr.edu.pl, 1.11.9,  , ,  httpg://storm.grid.cyf-kr.edu.pl:8444/srm/managerv2, 1.11.9 , True, True
EGEE.FESB.HR, se.fesb.egi.cro-ngi.hr, 1.11.4,  , ,  , , False, True
EGEE.IRB.HR, lorienmaster.irb.hr, 1.11.9,  https://lorienmaster.irb.hr:8443/webdav, 1.11.9 ,  httpg://lorienmaster.irb.hr:8444/srm/managerv2, 1.11.9 , True, True
EGEE.IRB.HR, se.irb.egi.cro-ngi.hr, 1.11.4,  , ,  , , False, True
EGEE.SRCE.HR, se.srce.egi.cro-ngi.hr, 1.11.8,  https://se.srce.egi.cro-ngi.hr:8443/webdav, 1.11.8 ,  httpg://se.srce.egi.cro-ngi.hr:8444/srm/managerv2, 1.11.8 , True, True
GR-04-FORTH-ICS, grid002.ics.forth.gr, 1.11.9,  , ,  httpg://grid002.ics.forth.gr:8444/srm/managerv2, 1.11.9 , True, True
IFCA-LCG2, srmbe01.ifca.es, 1.11.2.build901,  , ,  , , False, True
IFCA-LCG2, srmbe02.ifca.es, 1.11.3,  , ,  , , False, True
IFIC-LCG2, srmv2.ific.uv.es, 1.11.3,  , ,  , , False, True
IGI-BOLOGNA, darkstorm.cnaf.infn.it, 1.11.8,  https://:8443/webdav, 1.11.8 ,  httpg://darkstorm.cnaf.infn.it:8444/srm/managerv2, 1.11.8 , True, True
IL-TAU-HEP, tau-se.hep.tau.ac.il, 1.11.9,  https://tau-se.hep.tau.ac.il:8443/webdav, 1.11.9 ,  httpg://tau-se.hep.tau.ac.il:8444/srm/managerv2, 1.11.9 , True, True
INFN-BARI, storm-se-01.ba.infn.it, 1.11.3,  , ,  , , False, True
INFN-BOLOGNA, bostorm.bo.infn.it, 1.11.8,  , ,  httpg://bostorm.bo.infn.it:8444/srm/managerv2, 1.11.8 , True, True
INFN-BOLOGNA-T3, sebo-t3-01.cr.cnaf.infn.it, 1.11.3,  , ,  , , False, True
INFN-CATANIA, prod-se-01.ct.infn.it, 1.11.3,  , ,  , , False, True
INFN-CNAF-LHCB, se01-lhcb-t2.cr.cnaf.infn.it, 1.11.6,  , ,  , , False, True
INFN-COSENZA, linucs-se-01.cs.infn.it, 1.11.9,  , ,  httpg://linucs-se-01.cs.infn.it:8444/srm/managerv2, 1.11.9 , True, True
INFN-FERRARA, grid2.fe.infn.it, 1.11.9,  , ,  httpg://grid2.fe.infn.it:8444/srm/managerv2, 1.11.9 , True, True
INFN-GENOVA, grid03.ge.infn.it, 1.11.2,  , ,  , , False, True
INFN-LECCE, se.le.infn.it, 1.11.3,  , ,  , , False, True
INFN-MIB, storm.mib.infn.it, 1.11.8,  , ,  httpg://storm.mib.infn.it:8444/srm/managerv2, 1.11.8 , True, True
INFN-MILANO-ATLASC, storm-be.mi.infn.it, 1.11.9,  , ,  httpg://t2cmcondor.mi.infn.it:8444/srm/managerv2, 1.11.9 , True, True
INFN-NAPOLI-PAMELA, pamelase01.na.infn.it, 1.11.2,  , ,  , , False, True
INFN-PADOVA, prod-se-01.pd.infn.it, 1.11.2,  , ,  , , False, True
INFN-PARMA, grid-se2.pr.infn.it, 1.11.2,  , ,  , , False, True
INFN-PERUGIA, gridse2.pg.infn.it, 1.11.3,  , ,  , , False, True
INFN-PISA, gridsrm.pi.infn.it, 1.11.7,  , ,  httpg://gridsrm.pi.infn.it:8444/srm/managerv2, 1.11.7 , True, True
INFN-PISA, stormbe1.pi.infn.it, 1.11.7,  , ,  httpg://stormfe1.pi.infn.it:8444/srm/managerv2, 1.11.7 , True, True
INFN-ROMA2, gridvm01.roma2.infn.it, 1.11.3,  , ,  , , False, True
INFN-ROMA3, storm-01.roma3.infn.it, 1.11.3,  , ,  , , False, True
INFN-T1, storm-archive.cr.cnaf.infn.it, 1.11.9,  https://storm-archive.cr.cnaf.infn.it:8443/webdav, 1.11.9 ,  httpg://storm-fe-archive.cr.cnaf.infn.it:8444/srm/managerv2, 1.11.9 , True, True
